#Cluster EXTVER SPECID SNR_8000_VAR SNR_8000_RMS SNR_8200_VAR SNR_8200_RMS SNR_8400_VAR SNR_8400_RMS SNR_8600_VAR SNR_8600_RMS SNR_8800_VAR SNR_8800_RMS SNR_9000_VAR SNR_9000_RMS SNR_9200_VAR SNR_9200_RMS SNR_9400_VAR SNR_9400_RMS SNR_9600_VAR SNR_9600_RMS SNR_9800_VAR SNR_9800_RMS 
SpARCS1616 190 210040694 9.898017 4.368394 12.010657 10.484882 10.237678 9.513516 9.353164 7.181780 7.858608 6.525720 10.300057 7.874416 11.268060 5.134434 5.886436 3.119562 1.501505 2.509907 0.000001 0.000000 
SpARCS1616 189 210040682 2.257664 2.229868 2.922010 2.806232 2.713144 2.937426 2.246654 2.511335 1.714714 1.905312 2.210023 2.133483 nan 1.947887 nan 1.625079 0.040656 7.351998 0.000000 7409007734499880.000000 
SpARCS1616 215 210050317 6.003097 6.204316 6.801524 4.778986 6.191066 2.453399 4.562628 1.946172 2.882832 2.336040 3.433918 3.051571 nan 2.206693 nan 1.390692 nan 1.183647 nan 1.973403 
SpARCS1616 6 110000882 1.283698 1.183177 2.158001 1.745069 2.536941 2.154599 2.527244 2.353347 2.283349 2.388136 2.866108 2.535193 3.657235 2.232184 2.936709 2.167662 2.500392 2.261736 2.206160 1.969742 
SpARCS1616 183 210040592 10.117003 6.334780 10.881911 4.843893 8.893175 3.040508 7.352556 3.001132 5.339280 6.097069 6.204021 5.910003 6.484021 3.949537 3.442778 3.298874 0.931225 4.752873 0.000001 2851709010822330.000000 
SpARCS1616 188 210040676 1.256756 1.395204 1.342386 1.206313 1.386339 1.164753 nan 1.278018 nan 0.736737 nan 0.669849 nan 0.754774 nan 0.857034 nan 0.969983 0.000000 5587822288687409.000000 
SpARCS1616 32 110001392 7.409275 4.292736 8.334578 4.747241 6.980203 3.655258 8.229942 3.045326 8.422473 4.584873 11.448023 5.122841 13.383219 5.173078 9.615743 4.015078 8.703218 4.530447 7.456956 2.870917 
SpARCS1616 180 210040570 10.142154 8.233495 11.598912 8.452282 10.976840 7.648994 10.763911 9.284526 8.607885 9.278521 10.394015 10.220878 11.052472 5.792573 6.611550 4.496543 3.480730 3.546405 1.126295 4.375489 
SpARCS1616 179 210040532 34.923909 33.876490 36.900652 37.130325 31.691573 20.810736 27.885351 17.962431 22.134646 19.532497 23.701089 16.977379 24.182775 7.330301 13.986258 3.426178 4.100040 3.304752 0.000006 7045487975945044.000000 
SpARCS1616 225 210050618 12.983243 11.654851 13.540634 13.606017 11.168237 11.474413 9.661675 2.311671 7.724927 2.348592 8.097517 5.242004 7.541972 5.487616 4.324606 4.096787 2.800061 2.763979 1.316649 2.882650 
SpARCS1616 222 210050557 3.045031 3.230838 3.650466 2.081802 3.721915 2.173456 3.212757 2.851346 2.472736 2.599576 3.228047 2.931558 nan 2.353416 nan 1.526168 nan 1.015938 nan 1.285636 
SpARCS1616 5 110000855 7.209590 4.644576 7.082432 4.674795 6.054790 4.086376 5.253376 2.946949 3.819341 1.842834 5.067301 1.862577 5.983345 1.281639 4.030468 1.211379 2.893324 1.738954 2.346931 1.341506 
SpARCS1616 1 110000760 9.366540 5.080833 9.630174 4.239754 7.568119 3.998614 6.980509 4.515107 5.070748 3.660330 6.031895 4.109666 6.776793 1.995813 5.290550 1.487791 4.616104 1.164187 2.901153 1.038612 
SpARCS1616 9 110000954 6.765646 1.269436 7.878210 1.481427 5.701182 3.623704 5.207851 3.118698 3.881861 2.166659 5.206459 2.427372 6.305815 2.602935 4.509971 2.070777 4.180892 2.319624 3.550736 2.029144 
SpARCS1616 219 210050459 1.734025 1.760222 2.076001 1.794972 1.668243 1.343080 1.208460 1.185561 nan 1.063672 nan 1.279649 nan 0.641755 nan 0.425492 nan 0.679768 0.011546 7.093157 
SpARCS1616 218 210050425 3.699828 2.833415 5.219271 2.994522 5.393436 4.092927 4.181101 2.914750 3.153478 2.483882 4.667085 3.264583 5.109763 3.398849 nan 2.400582 nan 1.984918 nan 2.432483 
SpARCS1616 162 210030543 3.051274 3.350662 3.082910 2.688303 2.991607 0.982509 2.739670 1.084936 1.610057 1.729686 nan 1.623572 nan 0.741289 nan 0.292221 nan 0.803348 0.014699 27.018725 
SpARCS1616 220 210050474 36.808999 14.485980 37.739625 26.075919 33.531384 23.458836 27.082579 16.416115 20.472055 16.481515 22.575323 17.952203 21.477622 12.003028 10.878235 6.705819 2.564489 6.765855 0.000007 6759650459092983.000000 
SpARCS1616 14 110001078 11.351714 6.382830 13.157240 7.474208 10.742779 6.545962 9.158332 6.115618 7.575768 4.636438 9.095483 5.642946 9.355101 2.631667 6.628941 2.117536 5.152370 2.489040 3.734308 1.985069 
SpARCS1616 11 110001005 7.741285 5.461613 7.952060 5.354034 7.365150 4.630708 6.786375 4.595815 4.944059 3.589516 5.760499 3.364289 6.092337 1.901320 3.862092 1.392673 2.526751 1.307394 1.650190 1.145325 
